Date_time,PM25,PM10,NO2,O3,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-05-01,10.96,19.43,57.0,82.5,0,1,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-02,12.09,23.88,64.2,96.0,0,1,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-03,13.5,31.23,61.0,94.5,0,1,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-04,18.13,38.59,65.4,103.5,0,2,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-05,28.7,46.78,58.4,107.5,0,2,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-06,24.14,39.85,70.6,112.0,0,2,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-07,22.33,45.51,88.5,116.0,0,2,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-08,17.83,33.56,67.75,129.5,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-09,13.82,27.65,33.8,90.5,0,1,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-10,10.73,23.49,43.8,96.0,0,1,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-11,12.67,27.79,55.8,106.5,0,2,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-12,13.73,24.45,43.8,73.5,0,1,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-13,10.17,15.45,31.2,77.0,0,1,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-14,16.39,29.12,57.0,97.0,0,1,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-15,28.46,45.32,69.5,99.5,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
