Date_time,PM25,PM10,NO2,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-04-27,13.42,41.73,98.0,0,2,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0
2018-04-28,11.0,26.52,76.67,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0
2018-04-29,11.92,20.0,55.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818235,-0.2225209339563146,0
2018-04-30,5.37,8.77,49.33,0,1,1.0,6.123233995736766e-17,-0.7818314824680297,0.6234898018587336,0
2018-05-01,11.83,23.58,93.67,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-02,13.71,30.56,82.0,0,1,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-03,10.91,27.4,67.33,0,1,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-04,17.13,35.77,69.67,0,1,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-05,24.34,43.72,76.33,0,2,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-06,21.3,41.88,100.0,0,2,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-07,16.25,42.9,101.33,0,2,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-08,16.8,35.76,104.67,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-09,10.7,27.81,32.33,0,1,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-10,8.35,20.93,51.33,0,1,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-11,14.35,36.66,79.0,0,1,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-12,12.44,25.92,63.67,0,1,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-13,7.38,13.54,36.33,0,1,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-14,12.57,25.65,62.67,0,1,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-15,25.21,39.08,57.33,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-16,23.88,41.38,71.0,0,2,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-17,15.73,41.6,51.0,0,2,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-18,15.9,37.18,60.5,0,1,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-19,17.16,38.28,48.0,0,1,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-20,22.81,37.62,50.33,0,2,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-21,15.03,27.62,83.0,0,1,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-22,20.22,36.81,119.0,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-23,30.6,50.21,59.67,0,2,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-24,20.28,38.35,77.33,0,2,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-25,16.42,31.88,86.0,0,1,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-26,17.85,31.08,53.67,0,1,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
